"Passofonduto-Comitini";1875;8820,822972
"Comitini-Aragona Caldare";1874;6852,239777
"Aragona Caldare- Porto Empedocle (st.)";1874;24516,174558
"Catania (st.)-Bicocca";1869;8160,067613
"Bicocca-Lentini";1869;26790,234257
"Lentini-Siracusa (st.)";1871;73174,561035
"Siracusa (st.)-Noto";1886;40253,797981
"Noto-Modica";1891;73916,336273
"Modica-Comiso";1893;65679,620445
"Comiso-Terranova di Sicilia";1893;46671,36252
"Terranova di Sicilia-Licata (st.)";1891;45520,325045
"Favarotta-Licata";1881;22941,91203
"Canicattì-Favarotta";1880;36642,368984
"Bivio Canicattì-Aragona Caldare";1880;33027,953621
"Caltanisetta-Canicattì";1876;36198,964725
"S. Caterina Xirbi-Caltanisetta";1878;7389,102809
"S. Caterina Xirbi-Marianopoli";1881;16644,506186
"Marianopoli-Magazzinazzo";1881;20533,514611
"Magazzinazzo-Roccapalumba Alta";1881;23980,766233
"Laura-Mercato S. Severino";1869;8618,359185
"Avellino-Laura";1879;31285,10896
"Prata Pratola-Avellino";1886;9962,153762
"Benevento-Prata Pratola";1891;28799,187509
"Milano-Milano (Porta Sempione)";1870;5988,560621
"Milano (Porta Sempione)-Vigevano";1870;49134,016346
"Bicocca-Catenanova Centuripe";1870;46312,010896
"Catenanova Centuripe-Raddusa Agira";1870;22565,403595
"Raddusa Agira-Pirato";1870;18565,66861
"Pirato-Villarosa";1876;27803,477298
"Villarosa-S.Caterina Xirbi";1876;19141,068492
"Mortara-Bivio Mortara";1870;36695,017329
"Bivio Mortara-Casale Monferrato";1870;1897,827845
"Casale Monferrato-Bivio Casale";1870;61663,930249
"Asti-Castagnole Lanze";1870;27184,181246
"Brindisi (st.)-Brindisi(sc.p.)";1870;2236,575362
"San Gavino-Villasor";1871;32120,200731
"Decimomannu-Cagliari (st.)";1871;21754,40827
"Villasor-Decimomannu";1871;11089,457051
"Torrenieri Montalcino-Monte Amiata";1871;17361,572855
"Monte Amiata-Montepescali";1872;68680,657936
"Confine Francese (Modane confine)-Bussoleno";1871;68247,506579
"Oristano-S.Gavino";1872;57287,326087
"Siliqua-Decimomannu";1872;17530,435897
"Iglesias-Siliqua";1872;31312,118115
"Porto Torres (st.)-Sassari";1872;25843,118951
"Sassari-Ploaghe";1874;35630,827878
"Porto Torres (st.)-Porto Torres (sc.p.)";1872;814,200613
"Ploaghe-Chilivani";1874;25397,155664
"Sassari-Alghero";1889;44051,201634
"Ozieri-Chilivani (Magazzino Merci)";1891;12400,984449
"Tirso-Ozieri";1893;90704,478069
"Giave-Macomer-Oristano";1880;120470,302839
"Chilivani-Giave";1878;34441,190687
"Fraigas-Chilivani";1878;7143,381804
"Oschiri-Fraigas";1880;22563,644559
"Monti-Oschiri";1880;34049,94028
"Terranova Pausania-Monti";1881;29711,569112
"Terranova Pausania-Terranova Isola Bianca (Molo vecchio (sc. mar.))";1881;2104,838392
"Golfo Aranci (st.)-Terranova Pausania";1883;28298,399758
"Gonzaga Reggiolo-Modena";1872;48483,46599
"Motteggiana- Gonzaga Reggiolo";1873;16607,828096
"S. Antonio Montovano-Borgoforte";1873;22156,371421
"Borgoforte-Motteggiana";1874;3936,201919
"Pescara-Popoli";1873;69409,900453
"Popoli-Sulmona";1873;18927,456244
"Molina-Sulmona";1875;25329,285662
"Aquila-Molina";1875;55941,74688
"Usmate Carnate-Monza";1873;14983,184695
"Calolzio Olginate-Usmate Carnate";1873;26650,18065
"Orvieto-Orte";1874;57053,040509
"Pisa-Colle Salvetti";1874;20648,600397
"Cremona-Mantova";1874;87225,022458
"Palermo-Palermo (sc.p.)";1874;8563,331054
"Bra-S. Giuseppe di Cairo";1874;106139,341626
"Acqui-S. Giuseppe di Cairo";1874;67844,727523
"Porto Empedocle (st.)-Porto Empedocle (sc.p.)";1874;952,86723
"Trofarello-Chieri";1874;11855,795664
"Eboli-Contursi";1874;23110,527618
"Contursi-Romagnano";1875;28133,598341
"Pisticci-Metaponto";1875;33375,173502
"Ferrandina Pomarico Miglionico-Pisticci";1875;16500,813738
"Grassano Garaguso-Ferrandina Pom. Migl.";1876;28485,938984
"Potenza Inferiore-Calciano Tricarico";1880;56013,285589
"Picerno-Potenza Inferiore";1880;22919,902743
"Baragiano-Picerno";1880;15876,227403
"Balvano Ricigliano-Baragiano";1877;12747,186873
"Romagnano-Balvano Ricigliano";1877;8523,129371
"Chiasso confine-Como S. Giovanni";1876;5532,811285
"Bastia-Mondovì";1875;12974,104536
"Terontola-Chiusi Bagni di Chianciano";1875;37574,910639
"Udine-Gemona";1875;40310,586421
"Gemona-Stazione per la Carnia";1876;16742,312565
"Paratico Sarnico (st.) - Palazzolo sull'Oglio";1876;14011,151844
"Schio-Doppio B. Bacchiglione";1876;42670,963671
"Como S.Giovanni-Albate Camerlata";1875;7445,112379
"Rovigo-Adria";1876;35010,840943
"Badia-Rovigo";1876;39771,450813
"Sibari-Spezzano Albanese";1876;20241,239233
"Legnago-Badia";1877;26344,425511
"Cerea-Legnago";1877;11707,23284
"Mantova-Cerea";1886;54503,918117
"Legnago-Montagnana";1886;19316,851024
"Montagnana-Monselice";1885;34474,901685
"Dossobuono-Cerea";1877;51867,386495
"Frassia-Cosenza(F.S.)";1877;42864,616913
"Spezzano Albanese-Majolungo";1877;14599,530059
"Stazione per la Carnia-Resiutta";1877;11900,179813
"Resiutta-Chiusaforte";1878;11781,393994
"Chiusaforte-Pontebba";1879;17894,992095
"Castelfranco Veneto-Treviso";1877;34648,24661
"Cittadella-Castelfranco Veneto";1877;15992,811771
"Vicenza-Cittadella";1877;33490,984558
"Bassano-Padova(st.c.)";1877;67284,469197
"Treviglio-Rovato";1878;45533,96605
"Fiumicino-Pontegalera";1878;14371,585977
"Milano-Saronno";1879;30179,652764
"Saronno-Vedano Olona";1884;31944,407106
"Busto Arsizio-Saronno";1887;20784,92108
"Novara Nord-Busto Arsizio";1887;37095,453234
"Bovisa-Paderno Dugnano";1879;11552,999579
"Paderno Dugnano-Bovisio Mombello";1879;7646,395076
"Bovisio Mombello-Seveso S. Pietro";1879;5046,763677
"Seveso S. Pietro-Marciano Comense";1879;8992,600489
"Seveso S. Pietro-Camnago";1880;3348,448843
"Marciano Comense-Inverigo";1879;9038,532204
"Inverigo-Erba Incino";1879;13555,735655
"Conegliano-Vittorio";1879;18833,581362
"Palermo (st. c.)-Partinico";1880;66200,910739
"Castelvetrano-Trapani";1880;93720,030218
"Castellammare del Golfo-Castelvetrano";1881;58622,077478
"Monteponi-Porto Vesme";1880;25089,274334
"Monteponi-Iglesias";1898;6706,580204
"Reggio Calabria (Succ.) (dev. per porto)-Reggio Calabria (st. c.)";1881;4767,764308
"Sampierdarena-S. Limbania (Calate)";1881;4104,276446
"Venezia (S. L.)-Venezia Marittima (sc. p.) (Molo Lev. e Pon.)";1881;4290,682523
"Pietralcina-Benevento";1881;18123,030339
"S. Giuliano del Sannio-Pietralcina";1882;63765,698341
"Vinchiaturo-S. Giuliano del Sannio";1882;15768,520901
"Baranello-Vinchiaturo";1883;4693,714495
"Campobasso-Bosco Redole-Baranello";1883;10855,803078
"Casacalenda Guardialfera-Campobasso";1883;50813,820476
"Larino-Casacalenda Guardialfera";1883;16907,584524
"Termoli-Larino";1882;49476,103357
"Nocera Inferiore-Codola";1882;4221,116474
"Rocca di Corno-Aquila";1882;32808,23354
"Terni-Rocca di Corno";1883;107134,286631
"Mortara-Garlasco";1882;23164,451322
"Garlasco-Cava Carbonara";1882;18604,662401
"Vercelli-Robbio";1883;22082,470826
"Robbio-Mortara";1882;17023,943042
"Bressana Bottarone-Broni";1882;16859,142302
"Confine svizzero (Pino confine)-Luino (st. i.) (1)";1882;20732,606412
"Luino (st. i.)-Laveno Mombello";1882;20234,439056
"Laveno Mombello-Sesto Calende-Oleggio";1882;51883,758344
"Pinerolo-Torre Pellice";1882;22776,573684
"Bricherasio-Barge";1885;16334,876151
"Carmagnola-Bra";1884;28547,954823
"Airasca-Vigone";1884;13180,838614
"Vigone-Moretta-Saluzzo";1885;32795,997645
"Cavallermaggiore-Moretta";1886;20906,075745
"Romagnano Sesia-Vignale";1883;35711,78195
"Sassuolo-Modena";1883;23175,011948
"Battipaglia-Agropoli";1883;39159,508562
"Agropoli-Castelnuovo Vallo";1887;26698,728311
"Castelnuovo Vallo-Pisciotta";1889;22808,851313
"Pisciotta-Praia d'Aieta Tortora";1894;80334,235981
"Praia D'Ajeta Tortora-S. Eufemia Mar. Gizz";1895;158577,795006
"S. Eufemia Marina Gizzeria-Pizzo";1894;37433,039827
"Pizzo-Ricadi";1894;44012,897236
"Ricadi-Nicotera";1893;17889,087665
"Nicotera-Gioia Tauro (staz. provvisoria)";1891;22663,67268
"Bagnara-Scilla";1886;10895,976728
"Villa S. Giovanni-Cannitello-Scilla";1885;11550,230976
"Villa S. Giovanni (sc.  f. b.)-(pontile 1°)";1905;688,605987
"Villa S. Giovanni-Reggio Calabria (deviaz. sc. p.)";1884;15290,455508
"Parma-Fornovo";1883;32364,852484
"Fornovo-Berceto";1889;31498,558762
"Berceto-Borgotaro";1893;21730,00438
"Borgotaro-Pontremoli";1894;25036,385319
"Pontremoli-Vezzano";1888;46470,523469
"Catanzaro Sala-Catanzaro Marina";1883;11604,398615
"Corace-Catanzaro Sala";1899;6416,499238
"Telese Cerreto (st.)-Telese Cerreto (bagni)";1883;2576,1439
